blocks decoded 44, layout mismatch 0

 part         dtype   count      elements       min       max   NaN
   A0   float8_e4m3      44     5,144,576   -0.8750    0.8125     0
   A1   float8_e4m3      44       819,200   -0.6250    0.6250     0
   A2   float8_e4m3      36     1,277,952   -0.5625    0.4062     0
    P   float8_e4m3      44     1,286,144   -0.6250    0.5625     0
    Q   float8_e4m3      44     3,858,432   -0.8125    0.8125     0
    S       float32      44           200    0.4088   19.8211     0
    T       float16      44       819,200  -44.5938    0.0000     0
   g1       float16      44         6,400   -0.7026    1.0000     0
  g1b       float16       4           480   -0.3220    0.9844     0
   g2       float16      44         6,400   -0.0083    1.0000     0
 post   float8_e4m3       4       174,080   -0.8750    0.8125     0
  pre   float8_e4m3       4       174,080   -0.7500    0.8750     0

  T check: max = 0.000000, all <= 0 -> True, exact zeros 156
