blocks decoded 44, layout mismatch 0

 blk     C     bytes  parts
   1    32     20672  [plain] A0:4,096 A1:4,096 g1:32 Q:3,072 T:4,096 S:1 P:1,024 g2:32
   2    32     20672  [plain] A0:4,096 A1:4,096 g1:32 Q:3,072 T:4,096 S:1 P:1,024 g2:32
   3    32     20672  [plain] A0:4,096 A1:4,096 g1:32 Q:3,072 T:4,096 S:1 P:1,024 g2:32
   4    32     22720  [down/pad-kept] A0:4,096 A1:4,096 g1:32 Q:3,072 T:4,096 S:1 P:1,024 g2:32 post:2,048
   5    64     61760  [plain] A0:16,384 A1:8,192 A2:4,096 g1:64 Q:12,288 T:8,192 S:2 P:4,096 g2:64
   6    64     61760  [plain] A0:16,384 A1:8,192 A2:4,096 g1:64 Q:12,288 T:8,192 S:2 P:4,096 g2:64
   7    64     61760  [plain] A0:16,384 A1:8,192 A2:4,096 g1:64 Q:12,288 T:8,192 S:2 P:4,096 g2:64
   8    64     69936  [down/pad-absorbed] A0:16,384 A1:8,192 A2:4,096 g1:64 Q:12,288 T:8,192 S:2 P:4,096 g2:64 post:8,192
   9   128    197184  [plain] A0:65,536 A1:16,384 A2:16,384 g1:128 Q:49,152 T:16,384 S:4 P:16,384 g2:128
  10   128    197184  [plain] A0:65,536 A1:16,384 A2:16,384 g1:128 Q:49,152 T:16,384 S:4 P:16,384 g2:128
  11   128    197184  [plain] A0:65,536 A1:16,384 A2:16,384 g1:128 Q:49,152 T:16,384 S:4 P:16,384 g2:128
  12   128    197184  [plain] A0:65,536 A1:16,384 A2:16,384 g1:128 Q:49,152 T:16,384 S:4 P:16,384 g2:128
  13   128    197184  [plain] A0:65,536 A1:16,384 A2:16,384 g1:128 Q:49,152 T:16,384 S:4 P:16,384 g2:128
  14   128    229936  [down/pad-absorbed] A0:65,536 A1:16,384 A2:16,384 g1:128 Q:49,152 T:16,384 S:4 P:16,384 g2:128 post:32,768
  15   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  16   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  17   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  18   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  19   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  20   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  21   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  22   256    820288  [down/pad-absorbed] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256 post:131,072
  48   256    820784  [up/unpadded] pre:131,072 A0:262,144 A1:32,768 A2:65,536 g1:256 g1b:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  49   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  50   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  51   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  52   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  53   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  54   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  55   256    689232  [plain] A0:262,144 A1:32,768 A2:65,536 g1:256 Q:196,608 T:32,768 S:8 P:65,536 g2:256
  56   128    230176  [up/unpadded] pre:32,768 A0:65,536 A1:16,384 A2:16,384 g1:128 g1b:128 Q:49,152 T:16,384 S:4 P:16,384 g2:128
  57   128    197184  [plain] A0:65,536 A1:16,384 A2:16,384 g1:128 Q:49,152 T:16,384 S:4 P:16,384 g2:128
  58   128    197184  [plain] A0:65,536 A1:16,384 A2:16,384 g1:128 Q:49,152 T:16,384 S:4 P:16,384 g2:128
  59   128    197184  [plain] A0:65,536 A1:16,384 A2:16,384 g1:128 Q:49,152 T:16,384 S:4 P:16,384 g2:128
  60   128    197184  [plain] A0:65,536 A1:16,384 A2:16,384 g1:128 Q:49,152 T:16,384 S:4 P:16,384 g2:128
  61   128    197184  [plain] A0:65,536 A1:16,384 A2:16,384 g1:128 Q:49,152 T:16,384 S:4 P:16,384 g2:128
  62    64     70048  [up/unpadded] pre:8,192 A0:16,384 A1:8,192 A2:4,096 g1:64 g1b:64 Q:12,288 T:8,192 S:2 P:4,096 g2:64
  63    64     61760  [plain] A0:16,384 A1:8,192 A2:4,096 g1:64 Q:12,288 T:8,192 S:2 P:4,096 g2:64
  64    64     61760  [plain] A0:16,384 A1:8,192 A2:4,096 g1:64 Q:12,288 T:8,192 S:2 P:4,096 g2:64
  65    64     61760  [plain] A0:16,384 A1:8,192 A2:4,096 g1:64 Q:12,288 T:8,192 S:2 P:4,096 g2:64
  66    32     22784  [up/padded] pre:2,048 A0:4,096 A1:4,096 g1:32 g1b:32 Q:3,072 T:4,096 S:1 P:1,024 g2:32
  67    32     20672  [plain] A0:4,096 A1:4,096 g1:32 Q:3,072 T:4,096 S:1 P:1,024 g2:32
  68    32     20672  [plain] A0:4,096 A1:4,096 g1:32 Q:3,072 T:4,096 S:1 P:1,024 g2:32
  69    32     20672  [plain] A0:4,096 A1:4,096 g1:32 Q:3,072 T:4,096 S:1 P:1,024 g2:32
