blob                                 bytes  segments  layout
block31.layer1.layer             4,196,352         1  f8:4098K
block32.layer1.layer             4,196,352         1  f8:4098K
block33.layer1.layer             4,196,352         1  f8:4098K
block34.layer1.layer             4,196,352         1  f8:4098K
block35.layer1.layer             4,196,352         1  f8:4098K
block36.layer1.layer             4,196,352         1  f8:4098K
block37.layer1.layer             4,196,352         1  f8:4098K
block38.layer1.layer             4,196,352         1  f8:4098K
block31.layer0.layer             4,194,320         1  f8:4096K
block32.layer0.layer             4,194,320         1  f8:4096K
block33.layer0.layer             4,194,320         1  f8:4096K
block34.layer0.layer             4,194,320         1  f8:4096K
block35.layer0.layer             4,194,320         1  f8:4096K
block36.layer0.layer             4,194,320         1  f8:4096K
block37.layer0.layer             4,194,320         1  f8:4096K
block38.layer0.layer             4,194,320         1  f8:4096K
block31.layer2.layer             3,145,856         1  f8:3072K
block32.layer2.layer             3,145,856         1  f8:3072K
block33.layer2.layer             3,145,856         1  f8:3072K
block34.layer2.layer             3,145,856         1  f8:3072K
block35.layer2.layer             3,145,856         1  f8:3072K
block36.layer2.layer             3,145,856         1  f8:3072K
block37.layer2.layer             3,145,856         1  f8:3072K
block38.layer2.layer             3,145,856         1  f8:3072K
block31.layer4.layer             1,050,624         1  f8:1026K
block32.layer4.layer             1,050,624         1  f8:1026K
block33.layer4.layer             1,050,624         1  f8:1026K
block34.layer4.layer             1,050,624         1  f8:1026K
block35.layer4.layer             1,050,624         1  f8:1026K
block36.layer4.layer             1,050,624         1  f8:1026K
block37.layer4.layer             1,050,624         1  f8:1026K
block38.layer4.layer             1,050,624         1  f8:1026K
block23.layer2.layer               917,568         2  f8:768K f16:128K
block24.layer2.layer               917,568         2  f8:768K f16:128K
block25.layer2.layer               917,568         2  f8:768K f16:128K
block26.layer2.layer               917,568         2  f8:768K f16:128K
block27.layer2.layer               917,568         2  f8:768K f16:128K
block28.layer2.layer               917,568         2  f8:768K f16:128K
block29.layer2.layer               917,568         2  f8:768K f16:128K
block30.layer2.layer               917,568         2  f8:768K f16:128K
block40.layer2.layer               917,568         2  f8:768K f16:128K
block41.layer2.layer               917,568         2  f8:768K f16:128K
block42.layer2.layer               917,568         2  f8:768K f16:128K
block43.layer2.layer               917,568         2  f8:768K f16:128K
block44.layer2.layer               917,568         2  f8:768K f16:128K
block45.layer2.layer               917,568         2  f8:768K f16:128K
block46.layer2.layer               917,568         2  f8:768K f16:128K
block47.layer2.layer               917,568         2  f8:768K f16:128K
block48.layer0.layer               820,784         5  f8:480K f16:4K f8:188K f16:68K f8:61K
block22.layer0.layer               820,288         7  f8:352K f16:4K f8:188K f16:68K f8:60K f16:4K
block15.layer0.layer               689,232         5  f8:352K f16:4K f8:188K f16:68K f8:61K
block16.layer0.layer               689,232         5  f8:352K f16:4K f8:188K f16:68K f8:61K
block17.layer0.layer               689,232         5  f8:352K f16:4K f8:188K f16:68K f8:61K
block18.layer0.layer               689,232         5  f8:352K f16:4K f8:188K f16:68K f8:61K
block19.layer0.layer               689,232         5  f8:352K f16:4K f8:188K f16:68K f8:61K
