153 tensors; walk consumed 147,695,410/147,695,410 (100.000%)
payload 147,683,778 bytes (140.8 MB)
  (the model is MIXED precision - run `verify` for the true parameter count)

 BLK       layer0       layer1       layer2     layer3       layer4
   0       21,696            -            -          -            -
   1       20,672            -            -          -            -
   2       20,672            -            -          -            -
   3       20,672            -            -          -            -
   4       22,720            -            -          -            -
   5       61,760            -            -          -            -
   6       61,760            -            -          -            -
   7       61,760            -            -          -            -
   8       69,936            -            -          -            -
   9      197,184            -            -          -            -
  10      197,184            -            -          -            -
  11      197,184            -            -          -            -
  12      197,184            -            -          -            -
  13      197,184            -            -          -            -
  14      229,936            -            -          -            -
  15      689,232            -            -          -            -
  16      689,232            -            -          -            -
  17      689,232            -            -          -            -
  18      689,232            -            -          -            -
  19      689,232            -            -          -            -
  20      689,232            -            -          -            -
  21      689,232            -            -          -            -
  22      820,288            -            -          -            -
  23      524,288      263,168      917,568    263,168            -
  24      524,288      263,168      917,568    263,168            -
  25      524,288      263,168      917,568    263,168            -
  26      524,288      263,168      917,568    263,168            -
  27      524,288      263,168      917,568    263,168            -
  28      524,288      263,168      917,568    263,168            -
  29      524,288      263,168      917,568    263,168            -
  30      524,288      263,168      917,568    263,168      524,304
  31    4,194,320    4,196,352    3,145,856          2    1,050,624
  32    4,194,320    4,196,352    3,145,856          2    1,050,624
  33    4,194,320    4,196,352    3,145,856          2    1,050,624
  34    4,194,320    4,196,352    3,145,856          2    1,050,624
  35    4,194,320    4,196,352    3,145,856          2    1,050,624
  36    4,194,320    4,196,352    3,145,856          2    1,050,624
  37    4,194,320    4,196,352    3,145,856          2    1,050,624
  38    4,194,320    4,196,352    3,145,856          2    1,050,624
  39      525,312            -            -          -            -
  40      524,288      263,168      917,568    263,168            -
  41      524,288      263,168      917,568    263,168            -
  42      524,288      263,168      917,568    263,168            -
  43      524,288      263,168      917,568    263,168            -
  44      524,288      263,168      917,568    263,168            -
  45      524,288      263,168      917,568    263,168            -
  46      524,288      263,168      917,568    263,168            -
  47      524,288      263,168      917,568    263,168            -
  48      820,784            -            -          -            -
  49      689,232            -            -          -            -
  50      689,232            -            -          -            -
  51      689,232            -            -          -            -
  52      689,232            -            -          -            -
  53      689,232            -            -          -            -
  54      689,232            -            -          -            -
  55      689,232            -            -          -            -
  56      230,176            -            -          -            -
  57      197,184            -            -          -            -
  58      197,184            -            -          -            -
  59      197,184            -            -          -            -
  60      197,184            -            -          -            -
  61      197,184            -            -          -            -
  62       70,048            -            -          -            -
  63       61,760            -            -          -            -
  64       61,760            -            -          -            -
  65       61,760            -            -          -            -
  66       22,784            -            -          -            -
  67       20,672            -            -          -            -
  68       20,672            -            -          -            -
  69       20,672            -            -          -            -
  70       21,808            -            -          -            -

layer-name histogram: {'layer0.layer': 71, 'layer1.layer': 24, 'layer2.layer': 24, 'layer3.layer': 24, 'layer4.layer': 9, 'layer0.blend_scale': 1}

Expected shape: a symmetric U-Net. Conv encoder, a dim-512 transformer
stage, a dim-1024 bottleneck (the largest blocks), then the decoder
mirroring the encoder tiers, and a final head block.
